,작성일,작성자,제목,내용
243,2022-07-19,riverside___kmj,,4일 간의 서울 일정을 국무총리 청년정책조정위원회 활동보고회 참석으로 마무리합니다. 문재인정부에서 제정된 청년기본법을 근거로 지난 2020년 9월에 국무조정실 소속으로 국무총리 청년정책조정위원회가 설치되었습니다. 이후 2년 남짓한 시간동안 본위 실무위 전문위 등이 구성되어 청년의 삶이 조금이라도 나아지기를 바라는 마음에서 정책을 고민하고 심의 결정해왔습니다. 운이 좋게도 저 또한 지난해부터 전문위원으로 함께하며 국가의 청년정책 결정 및 운영 과정에 여러 의견을 낼 수 있었습니다. 오늘 세종문화회관에서 청조위 민간위원들이 한 자리에 모여 상반기 동안 각 연구모임에서 주제별로 연구를 진행한 결과를 발표했습니다. 주거 일자리 참여 권리 창업 기획 균형발전 생활 등 다양한 분야 연구 결과를 들으며 이들 분야가 별개의 것이 아니라 모두 연결되어 있음을 다시 한번 느꼈습니다. 또한 최근 문제가 되고 있는 전세사기 등 민생과 관련된 이슈들은 정부가 방관하지 말고 적극적으로 해결책을 찾아가야 하겠습니다. 청년 당사자 문제 해결에는 여야가 없습니다. 정부는 바뀌었을지라도 청년정책 기조에는 흔들림이 없어야 합니다. 문재인 정부에서 만든 청년정책 생태계와 성과 아직 풀지 못한 과제를 토대로 윤석열 정부에서 잘된 것은 계승 발전시키고 미처 풀지 못한 과제는 민주적 토론과 협의를 통해 함께 해결해나가자고 당부드렸습니다. 뿐만 아니라 수도권과 비수도권 비수도권 속에서도 대도시와 중소지자체 간의 청년정책 결정 및 거버넌스 참여의 간극을 줄여나가는 일 또한 새 정부의 청년정책조정위원회에서 멈추지 말고 해나가야 하겠습니다. 저는 문재인 정부에서 위촉된 전문위원이지만 윤석열 정부 청년정책조정위원회의 성공을 누구보다도 진심으로 바랍니다. 남은 전문위원 임기 동안 우리가 발 딛고 사는 공동체의 모든 청년들이 행복하게 살아갈 수 있도록 고민하고 토론해나가겠습니다.
98,2022-07-20,99nail.mia,,얼마 전 긴긴 압류와 경매를 거쳐 낙찰이 되기까지.. 1년 넘는 시간을 헛되게 보내고. 새로 이사한 집은 문제 없이 더 꼼꼼하게 확인하고 보증보험 도 가입했고. 그로부터 몇 달뒤.... 또 다시 새 집에 들어온 압류 두번째 전세사기를 당했네요. 최근 연합뉴스 네이버 기사 보셨나요 30대 남성 400채 보유. 세금못내 세입자들의 발목을 잡았습니다. 저 임대보증보험 들어있고 대항력 갖췄습니다만 . 임대보증보험 못받는답니다..응 가입비용도 냈는데요 중간에 바뀐 이 우 91년생 이 우라는 새 집주인. 새로쓴 표준계약서에 확정일자를 다시 안받아서 랍니다. 중랑구 은평구 강서구 잠실 성북구 강북구.. 서울전지역 400채정도의 집을 가지고 있는 이 우. 본 인집의 임대인의 이름이 이 우 이신분들은 꼭 등기부 열람하시고 압류사실 확인해주세요 단톡방에 현재 100여명이 있습니다 힘을 모아 앞으로의 방향을 논의중입니다 나머지 300명은 등기부 떼볼일이 생길때까지 법원에서 압류통지가 날아올때까지 모르고 살다가 대응시기 놓치게 되요. 왜 우리가 그 들의 세금을 내줘야 하는거죠 어째서 세금이 1순위이죠 내 돈으로 왜 세금을 내죠 제 피드를 보시는 여러분 서울 전역에 내가 아는사람이 피해자일수 있습니다. 부디 많이 소문내 주세요. 단통방링크는 디엠주세요 주변에 널리널리 알려주세요 주변 종암 정릉 하월곡 미아 수유 창동 빌라사시는분들 다 확인하세요. 임대인의무가입이며 출시한 임대보증보험만으로 절대 안심하시마세요. 가입은 서류없이 미심사로 가입해주고 연장과 이행신청은 서류와 심사를통해 불이행되는 가입비 받아먹는 제도입니다 이 우 구해줘홈즈 출연해서믿었다 깡통전세 허그 임대보증보험 전세보증보험 강제경매 압류 공매 전세안심대출보증 전세반환보증보험 서울신용보증재단 주택도시보증공사 전세사기 다방 전세자금대출 우정하우징 그것이알고싶다 대검찰청 이게 사기죄 가 아니면 무엇입니까. 구구 예약 전 필독 해쥬세요 서울 성북구 하월곡동 81 411 2층 주차 예약은 전화 또는 카카오톡 플러스친구 99번가네일살롱 카톡 예약시 양식대로 주셔야 답변이 안밀려요 원하시는날짜 시간대 손 발 젤제거여부 아트여부 성함 연락처 답변이 없을시 시술중이니 샵으로 전화주셔야해요 플친보다는 전화우선예약입니다 02 942.5442 디엠은 보지 않아요 예약금 진행중이예요 노쇼는 재예약불가해요 당일예약변경 및 취소는 예약금환불안되며 회원님들도 회원권 차감되어요 대기예약제 시행중이니 대기원하시면 연락드려요. 연중무휴 설날 추석 당일만 쉬며 특별한 날은 인스타에 공지해요 특정쌤 지정예약은 1만원 추가됩니다.
242,2022-07-20,listen_smart_life,,듣똑라가 야심차게 준비한 청년 주거 안정 특집 최근 부동산 시장 상황과 꼭 알아야 할 정보들을 모아 듣똑러에게 떠 먹여 드릴 예정인데요 1편에서는 전세 사기에 대한 얘기를 준비했어요. 전세 사기 피해는 대체 왜 생기는 건지 피해 받지 않으려면 어떻게 해야 할지 알아보고 본인의 전세 사기 피해 사례를 직접 만화로 그려 알린 루나 작가님을 모셔 얘기 나눠봅니다. 영상은 7 21 목 유튜브에서 공개 됩니다. 놓치지 말고 시청하세요
241,2022-07-21,listen_smart_life,,세상에 집이 이렇게 많은데 내 집은 어디에 삶에 있어서 제일 중요한 의.식.주.. 주 그래서 준비한 주거 안정 특집 제 1탄 전세 사기 편입니다 일단 지금 살고 있는 집 문제 없나요 혹은 이사갈 집이 어떨지 모르겠다고요 각박한 세상 늘어나는 전세 사기 속 똑똑하게 이사 가는 법부터 본인의 전세 사기 경험을 공유한 루나 작가님의 인터뷰까지 스토리에서 가장 먼저 만나보세요
97,2022-07-21,assapage_,,56년만에 영끌해서 내 집 마련 성공한 배우 김광규 예능 연예 정보 . . . . . . . . 김광규 김광규집 김광규집값 내집마련 김광규전세사기 전세사기 나혼산 정글의법칙 유머짤 웃는짤 오늘의짤 좋반 좋테 좋아요 연예인 연예 핫이슈 명장면 명대사 실시간 웃긴짤 짤모음 개웃김 예능다시보기 아이돌짤 아이돌웃긴짤
240,2022-07-24,chacha8512,,2022년 8월 14일 일요일 결혼합니다 2022년 8월 14일 일요일 양재역 3번출구 브라이드 밸리 웨딩홀 12시30분 결혼준비와 신혼집 리모델링 이사준비와 전세사기 건 법정 소송 문제로 눈 코 뜰새 없이 바쁘게 지내고 있는 요즘 한 분 한 분 직접 뵙고 소식을 전해드려야 하는데 그러지 못한 점 너그럽게 이해해 주시면 감사드리겠습니다 회사를 퇴사한 후 주식과 투자에 대한 글을 쓰기 시작한 것도 어언 4년이라는 시간이 흘렀는데 힘든 일이 있었지만 많은 분들이 보내주시는 응원과 관심 덕분에 다시 일어설 수 있었습니다 제 곁을 묵묵히 지켜주던 세상에서 제일 착하고 가장 천사같은 사람과 미래를 약속하게 되었고 혹시라도 아직까지 연락을 받지 못하신 분들이 계시다면 서운하게 생각치 마시고 편하게 연락주시면 너무나 감사드리겠습니다 제 결혼을 축하해 주시고 축복해 주신 모든 분들께 감사드려요 결혼 결혼준비 웨딩 웨딩사진 리모델링 신혼집 웨딩밴드 결혼반지 다이아반지 다이아몬드반지 웨딩링 주식 차트의신 문의는언제든환영
96,2022-07-25,chosungjin_ceo,,2022년 7월 25일 월요일 코로나 재감염 사례 33.2 는 소아 청소년. 백신 접종률 낮고 활동량 많아 뜨개조성진 아들들 과 신문읽기 매일경제 1. 월 1천200만원 버는 우영우 현실에서 장애인이 받는 월급은. 장애인 임금 월 197만원 관리자 전문가도 281만원으로 우영우의 4분의 1 패널조사서 월 400만원이상 받는 지적 자폐성 장애인 0명 2. 물 반 참외 반 낙동강 노란 참외 떼가 둥둥 뭔일 최근 낙동강에 뜬금없이 참외가 둥둥 떠다니고 있는 것으로 근처 농민들이 버린 건데 수질 오염까지 우려된다는 지적. 3. 오늘부터 입국 1일차에 검사 해외유입 증가에 방역 강화. 신규 확진자 해외유입 연일 300명 안팎. 4. 고추냉이 없는 초밥시대가 온다고 고추냉이 생산량이 불안정한 주요한 이유 중 하나는 지구 온난화 지구 온난화로 인해 더 강해진 태풍은 고추냉이 농장에 악영향. 5. 신발 신는 순간부터 전부 돈 외식비 줄인상에 한숨. 인플레이션 화폐가치가 하락해 물가가 지속적으로 상승하는 현상 이 심화. 문제는 앞으로도 당분간 이어질 전망 물가의 기조적인 흐름 보여주는 근원물가 4.4 올라. 6. 왜 전부 필수 동의해야하죠 페북 인스타 유저 정보수집 논란. 맞춤형 정보 제공에 필요 이용자 선택권 제한 개인정보 유출 전례 우려 개인정보보호위 개인정보보호법 위반 여부 조사 7. 이제 좀 나가나 했더니 고환율에 유학길도 막힌 코학번 코로나로 발 묶였다 학비 부담에 포기 무스펙 박탈감 8. 살다살다 이런 일이 아파트 지하주차장에 대형 텐트. 아파트 물놀이에 이어 캠핑이라니 물놀이 아파트 와는 다른 아파트 라며 텐트 말리시는 것 같은데 주변에 사람은 없고 집에 들어간 것 같다 고 설명. 한겨레신문 1. 대기발령 류삼영 서장 까불면 죽는다 고 장관이 시범 보인 것 경찰청 회의 직후 대기발령 참석자 감찰 착수. 2. 경찰 깡통전세 등 전세사기 특별 단속 조직적 범죄는 구속수사. 경찰청은 전세사기 전담수사본부를 설치해 내년 1월24일까지 6개월 동안 운영한다고 반부패경제범죄수사대와 지능팀에서 전문인력 중심 전담수사팀으로 지정하고 단속 추진 예정. 3. 대우조선 하청노조 임금 못 올렸지만 이 합의서 쓰는데 6년 걸렸다 30 인상 요구했으나 스스로 철회 파업 전 수준 임금 4.5 인상 합의 내년부터 상여금 140만원 지급키로 폐업 하청 노동자 고용승계도 노력 파업 손해 민 형사 책임 추후 논의. 4. 우회전 일시멈춤 안 해서 모닝에 깔린 아이 사람들이 차량 들어 구해. 승용차에 치여 넘어지면서 범퍼 밑에 깔려 머리 다쳐 병원 이송 생명에는 지장 없어. 5. 렌터카로 쿵 고의 충돌로 보험금 5억원 챙긴 92명 덜미. 용돈 벌게 해주겠다 며 탑승자 모집 공범 대부분 20대 유흥비 등 사용. 6. 주말 문여는 임시선별검사소는요 전국 고작 10곳뿐이네. 서울 5곳 있지만 토요일은 1곳 뿐 정부 사이트에 틀린 정보 올라와. 7. 코로나 또 걸렸어 7만7200명 셋 중 한명은 17살 이하. 재감염 사례 33.2 는 소아 청소년 백신 접종률 낮고 활동량 많아 오미크론 이후 재감염 발생률 4배 최근 한달새 재감열률 3 육박. 8. 기다려라 내가 간다 몸 푸는 폭염 주말 마지막 장맛비 23 24일 장마 끝물 27일께 종료 가능성. 지역따라 폭염특보 25 26일 국지성 소낙비. 장마가 끝난 뒤에도 때때로 강한 호우성 소나기가 이어질 전망 아열대고기압의 영향권에 들면서 대기 하층의 기온은 상승했지만 대기 상층의 기온 상승까지는 시간이 걸려 상 하층의 기온차가 커짐에 따라 대기불안정으로 강한 소나기가 내릴 수. 7월 25일 월 고도의집중과몰입상태 나는날마다모든면에서점점더좋아지고있다 조성진 아들램 과 신문 읽기 끝. 활기찬 월요일 되시길요.
95,2022-07-26,daemoon.info,,서민의 피를 빨아먹는 전세사기 즉 깡통전세가 사회적 문제가 되었습니다 사기를 당하지 않는 방법은 남의 말을 믿지말고 스스로 확인하고 점검해야 합니다 시세보다 저렴하다고 하여 계약을 서두는 일은 없어야 합니다. 특히 거래상대방 본인확인과 본인계좌를 이용하는 것 잊지 맙시다. 이 2가지는 부동산 거래에서 반드시 지켜야 합니다. 대문부동산직거래 부동산직거래대문 부동산정보 전세사기 깡통전세 아파트전세 부동산
239,2022-07-27,goldrabbit21c,,안녕하세요 경제기사로 여는 아침입니다. 오늘 사과를 하나 먹든 초콜릿바를 하나 먹든 좋은 책을 한 권 읽든 드라마를 보든 10달러를 절약하든 써버리든 간에 지금 당장은 아무런 차이가 없어 보인다. 하지만 10년이 지나면 차이가 눈으로 뚜렷하게 확인된다. 초콜릿 드라마 지출은 비만 단편적 사고 빈곤으로 과일 좋은 책 절약은 건강 지식 경제적 안정으로 이어진다. 삶은 우리가 내린 모든 결정의 총합이다. 보도 섀퍼의 이기는 습관 중 순간의 선택이 10년을 좌우하죠. 오늘도 괜찮은 선택만 하는 하루 보내세요 1. 중앙 매맷값 대비 전셋값 비율이 80 가 넘으면 깡통전세 100 를 넘으면 역전세 라고 부른다. 태평양 감정평가법인 조사에 따르면 전국의 연립 다세대 등 공동주택 전체의 3 에 해당하는 8000개 단지가 역전세 현상이 발생한 것으로 나타났다고 한다. 이런 연립 다세대 등은 아파트에 비해 상대적으로 적정시세를 파악하기 어렵다는 점에서 깡통전세와 전세사기 위험에 노출되어 있고 전세보증금을 떼일 우려가 커지고 있다. 여유가 없는 사람들만 더 살기 팍팍하고 더 안 좋은 일을 당할 수 있다는 게 현실이다. 정부는 20일 주거분야 민생안정 방안에서 깡통전세 예방을 위해 전세가율 급등 지역 을 사전관리 하겠다고 했다. 2. 중앙 한국경영자총협회 자료에 따르면 지난 20년간 2000년에서 2021년 증가율 대비 해외투자는 11.6배 늘었는데 투자유치는 2.4배 증가했다고 한다. 우리 나라가 매력을 잃은 이유는 뭘까 1 경쟁국보다 내수 시장이 협소하고 2 시장 규제가 과도하며 3 조세 경쟁력도 취약하기 때문이라고 한다. 여기까지는 경총연 입장이고 객관적으로 봤을 때 4 우리 기업 문화가 매력적이지 않고 5 오너리스크가 컸던 점도 있다. 서로 잘 하자. 3. 매경 중국의 시진핑 주석은 코로나19 이후 전면 중단했던 정상외교를 펼치기 시작한다. 1호가 조코 위도도 조코위 인도네시아 대통령인데 중국은 미국에 대항하려는 목적으로 아세안을 우군으로 끌어들어들이기 시작했다. 가장 공들이는 나라 중 하나가 아세안 핵심 국가인 인도네시아다. 중국은 코로나19 사태 이후 인도네시아를 대상으로 백신외교 를 적극적으로 펼쳤고 인도네시아는 중국이 호주산 석탄수입사태로 어려울 때 석탄을 수출하며 돈독한 사이가 되었다. 조코위도 중국 방문 후 일본과 우리나라를 방문하는 일정으로 25일 현지시간 순방길에 올랐다 한다. 참고로 조코위는 인도네시아에 전기차 생태계 구축을 하고 있기 때문에 이번 방한에서 현대차만 방문하고 간다고. 4. 매경 매경과 한경연이 개발한 시계에 따르면 1997년 12월 외환위기 당시를 자정으로 봤을 때 지금은 저녁 8시라고 한다. 위기 정점까지 불과 4시간 밖에 남지 않았는데 이유는 원자재값 상승 직격탄을 맞아 울 수출과 제조업이 3.1 감소 2분기 했으며 운송장비 투자가 위축되면서 설비투자도 1.0 감소했기 때문이다. 수출은 줄어드니까 무역적자가 불어나는 속도도 빨라지고 있고 국내 경제주체들의 소득도 타격을 받고 있다. 2분기 국내총소득 은 1.0 급감해 2020년 2분기 1.9 이후 최대 하락폭을 기록했다. 정리하자면 원달러환율 상승과 원자재값 상승 물가급등 가계 실질소득 감소 소비축소의 악순환에 빠져들었다는 것. 5. 매경 오랜만에 공모주. 최근 2차전지 관련 공모주는 시장에서 인기를 끌고 있다.쏘카와 함께 올 여름 최대 공모주로 손꼽히는 2차전지 분리막 업체 다. 소카가 가 두려워 날짜를 피했다는 소문도 있고. 목표 시총이 최대 3조4천억원이며 8월 1 2일 수요예측 8월 8 9 일반인 청약이다. 오늘 마감하는 공모주도 하나 있는데 여기는 2차전지 재활용기업 새빗캠 이니 참고.
238,2022-07-28,matkim_project,,선한영향력 이라고 이건은 말할 수 있지않을까요... 경매 를 보다가 아무래도 시기도 비슷하고 반복되는게 패턴이 비슷해서 불길한 냄새가 나는 내용이라 널리 알려야겠다고 더이상 피해자가 나오면 안돼 하며 영상을 하나 만들었었는데 이걸 보신 경찰분에게 연락이 왔어요 부연설명 전문가의 견해를 듣고 싶다고.... 자세히 말씀드릴 순 없지만 제 생각보다 훨씬 심각한 내용의 사건 인듯요. 피해자들도 많고 하지만 이런 경우들이 겉으로 보기에 법적으로는 정당한 상황이라 이런 사건이. 처벌이 가능할까 싶었는데...이렇게 경찰에서 관심을 갖고 계시는걸 보니 그래도 희망적인 결과가 있을것 같아 그래도 참 다행스럽고 하네요. 암튼 결과를 지켜봐야겠지만 무섭기도하고 뿌듯함에 용기도 솟았던. 그런 날이었답니다. 오늘아님. 소사장소피아 유튜브 의 좋은영향력 소사장개코설 전세사기 조심조심 부동산경매 경매
