,작성일,작성자,제목,내용
229,2020-02-23,UC02QEY0SPjAtOM8C4XBaG3g,청년정책 종합추진계획 보고회,2020 청년정책 종합추진계획 보고회가 21일 시청 상황실에서 열렸습니다. 부서별로 청년자립 청년성공 청년행복을 목표로 하는 올해 추진사업과 함께 청년과 관련한 민선7기 공약사업을 보고하고 청년정책을 보다 나은 방향으로 구체화하기 위한 질의응답 시간을 가졌습니다. 이날 보고회 참석자들은 청년이 찾아오는 도시 조성이라는 공통된 비전 아래 적극적으로 청년정책 추진에 나설 것을 약속했습니다.
228,2020-02-25,UCSd6jlFPB6iVG3eCTH7XJZA,"김재원 ""청년 가슴에 비수 꼿은 문 정부의 청년정책""",2웛 26일 국회 정론관에서 미래통합당 2020 희망공약 개발단 총괄단장이 문재인 정부의 청년정책에 대해 강하게 비판하며 청년 공정 희망 7대 공약 을 발표했다. 김재원 미래통합당 청년 영상을 보시고 좋아요와 구독을 눌러 시사포커스를 키워주세요 시사포커스 기사제보 여러분의 기사제보를 기다리고 있습니다. 현장의 소리를 팩트에 기반하여 신속하게 보도하겠습니다. 02.323.2223 02.323.1616 01 . . 여러분의 자율구독료는 시사포커스 에서 좋은 방송을 만드는데 큰 도움이 됩니다. 시사포커스 후원방법 구독방법 유튜브 슈퍼 쳇 후원하기 자율구독료 국민은행 463501 01 278662 일간시사신문 해외 자율구독료 국민은행 463501 01 278662 일간시사신문 시사포커스 구독하기 . 2 시사포커스 후원하기 . 2 8 14 시사포커스 슈퍼쳇 시사포커스와 포커스 는 특허청에 서비스등록 및 상표등록이 되어 있습니다. 본사의 영상 공유하기는 적극 환영하나 영상 재편집 사용은 어떠한 경우에도 불허합니다.
227,2020-03-03,UCRZXiNgU35DCyC8oFxIX1-w,코로나19 청년정책에 미치는 영향 | 열고닫기★,3월 4일 오전 기준 코로나19 확진자가 5천 3백명을 넘었습니다. 학교는 개학을 하지 못하고 행사 및 축제는 거의 취소되고 있으며 청년들의 공간들도 휴업에 들어간 상황이 계속되고 있습니다. 코로나19가 현재 우리 청년들에게 어떤 영향을 미치고 있는지 꾸망이가 안내해 드리겠습니다 코로나19 사태가 빨리 호전되었으면 좋겠습니다. 관련 홈페이지 청년허브 . 무중력지대 . . 서울특별시 . . . 온라인청년센터 . . . 고용노동부 . . . 취업성공패키지 . . . 청약센터 . . . 참조 무중력지대 공지사항 . . 서울특별시 공지사항 . . . 512760 온라인청년센터 공지사항 . . . . 3 105 2 1 10 코로나19 힘내라대한민국 청년정책
226,2020-03-11,UCRZXiNgU35DCyC8oFxIX1-w,긴급 대응 청년정책 | 열고닫기★,많은 분들이 코로나19에 피해를 입는 상황이 계속되고 있습니다. 정부와 지자체에서는 이런 피해에 대응하기 위해서 여러 가지 정책들을 계획하고 시행하고 있는데요. 그중 대표적인 몇 가지를 꾸망이가 알려드리도록 하겠습니다. 관련 홈페이지 서울청년포털 . . . 페이스북 . . . . 서울특별시 . . . 부산문화재단 . . . 울산 일자리창업정보센터 . . . 참조 서울청년포털 코로나19대응 공고 . . . 19 부산광역시 방구석 프로젝트 . . . 05 04. 1214 울산광역시 청년행복 지원사업 . . . 211 긴급대책 코로나19 청년정책
225,2020-03-11,UCLcdLhHO6oPJah0SzcncA3Q,"지옥고세대,기본소득, 청년정책에 대해 말하다. 김정식 터닝포인트대표 - 영상출처: 오른소리",영상출처 오른소리 미래통합당 공식 유튜브채널 . . 1 8 영상보시기전에 구독과 좋아요를 꼭 눌러주세요 일산 는 구독자 여러분의 알 권리를 위해 최선을 다해 오늘도 현장에서 뛰겠습니다. 자발적 구독료 응원 우리은행 1002 936 822998 김 대 댓글을 달아주시고 채팅창에 글을 적어주시는것도 큰 힘이 됩니다.
224,2020-03-11,UCeU4Ivp6SrCIA3icFGymkTw,[다문화자막뉴스] 청년정책 시행계획 확정 确定青年政策实施计划,다문화자막뉴스 다정다감 전주
223,2020-03-12,UCk8eBFGyUUsUrgEDAacv5oQ,"청년구직활동지원금 못받은 분들은 요기! 드림체크카드 신청하세요! (정부지원금 , 지자체 지원, 청년정책, 청년 취업, 기준중위소득, 신청방법)",청년구직활동지원금은 이제 아시는 분들이 많은데요. 이와 유사한 제도가 엄청나게 많은데 아시는 분들이 많이 없는것 같습니다... 그 첫번째 인천드림체크카드 입니다 청년구직활동지원금 청년정책 정부지원금
222,2020-03-23,UCRP_caJCLUa9HZB2qzlh1pw,2019 타운홀미팅 청년정책 영상 최종,2019년 청년정책 홍보영상 전라남도 홍보 및 상영영상 2019
220,2020-03-26,UCH1Isxz2WU5PCaiVbFoJ2tg,무료 청년정책 온라인 자소서 서비스,김포청년공간창공 카톡으로 신청하면 끝 부끄러워 말고 자소서 보내보세요 자소서에 표현된 역량 우수자소서와의 역량 비교 자소서 수정시 참고사항 면접준비방법 진단 및 추천가이드 그리고 전문 컨설턴트의 자문까지 정원마감 시 조기 마감될 수 있습니다. 신청자격 김포시 거주 만 19세 34세 청년 김포청년공간창공 창공 사우동 청년공간 자소서 컨설팅 취업 무료첨삭 교육
219,2020-03-31,UCRZXiNgU35DCyC8oFxIX1-w,"21대 국회의원 선거, 정당별 청년정책 투표 공약이 궁금하다 | 청년정책 톺아보기 | 열고닫기★",4월 15일은 21대 총선이 있는 날입니다 그래서 긴급 편성한 열고닫기 특집 청년정책 톺아보기 1편 정당별 10대 공약 중에서 청년정책 공약을 분석해보았습니다. 정당별 10대 공약 중에서 청년 관련 정책은 어떤 게 있는지 함께 보면서 이야기해 보겠습니다 관련 홈페이지 중앙선거관리위원회 홈페이지 . . . 참조 중앙선거관리위원회 유튜브 . 1 8 사전투표 방법 . . . 0000424 40726. 200192 5 1 준연동형비례대표제 . . . 0000424 40265. 200192 5 97 0 8 99 98 95 1 1 21대총선 국회의원선거 청년정책
218,2020-04-01,UC_fFLoUU8NzaZ0G7jlE1DQA,"[코로나19 대응] 청년정책이 이렇게 바뀐다고? 구직활동지원금&내일채움공제&취성패 (청년지원정책, 청년지원금, 청년지원금신청)",코로나19 대응 청년정책이 이렇게 바뀐다고 구직활동지원금 내일채움공제 취성패 청년지원정책 청년지원금 청년지원금신청 코로나19로 바뀐 꼭 알아야할 청년정책
217,2020-04-07,UCisEmY9g7F6eGDbW2bZkS4w,이런 국회의원을 원한다-청소년.청년정책 공약,와 제민일보 한라일보 네번째 공동기획 순섭니다. 이번 공동기획은 각 직업군별로 국회의원 후보자들에게 바라는 내용을 전달하는 시간으로 마련했습니다. 오늘은 첫 번째로 올해 처음으로 투표에 참여하는 고3학생과 교육관계자를 만나봤습니다. 언론3사 공동기획 만 18세 첫 투표권 행사 뉴스 집스
216,2020-04-10,UCRZXiNgU35DCyC8oFxIX1-w,"21대 국회의원 선거, 후보별 청년정책 공약이 궁금하다 | 청년정책 톺아보기 2편 | 열고닫기★",4월 15일은 21대 총선이 있는 날입니다 지난시간에 이어서 21대 총선 특집 청년정책 톺아보기 2편 후보별 공약들 중에서 청년정책 공약을 분석해보았습니다. 후보별로 어떤 청년 관련 정책을 제시했을까요 청년의 입장에서 확인하러 고고고 관련 홈페이지 중앙선거관리위원회 홈페이지 . . . 참조 중앙선거관리위원회 선거통계시스템 . . . . 21대총선 국회의원선거 청년정책
215,2020-04-14,UCRZXiNgU35DCyC8oFxIX1-w,청년정책 추진단 '청년 삶 패러다임'을 바꿀 수 있는 방안은?? | 청년의 삶 개선방안 분석 vol.1 | 열고닫기??,2020년 3월 26일 정부는 정세균 국무총리 주재 국정현안점검조정회의에서 청년들의 제안을 바탕으로 마련한 청년의 삶 개선방안 을 확정 발표하였습니다. 청년정책의 새로운 패러다임을 제시한다고 하는데요 과연 어떤 정책들이 들어있을지 꾸망이와 친구들의 이야기를 들어보시죠 관련 홈페이지 청년정책추진단 .2030. . 청년의 삶 개선방안 발표 .2030. . 1 387 청년의삶 개선방안 청년정책
214,2020-04-14,UCWElV8jilsESVNbFHAW6ccw,"[sbn] 서천군, 청년정책 홍보 알림 홈페이지 개설",앵커 충남 서천군이 청년정책 홍보 알림을 위해 홈페이지를 개설합니다. 김서희 기자가 보도합니다. 기자 서천군이 신속하고 정확한 청년정책 홍보 알림을 위해 오는 24일까지 홈페이지 를 개설합니다. 홈페이지에는 청년 일자리사업 주거지원제도 정책 및 사업 알림 청년 커뮤니티 등 다양한 정보가 게재됩니다. 또 청년사업목록과 진행상황 공개 청년들의 정책제안 활성화 양방향 사업평가 등을 통해 청년들과 소통해 나간다고 전했습니다. 군 관계자는 관내 거주하고 있는 청년들이 정부나 군에서 실시하는 청년관련 정책을 활용할 수 있도록 노력하겠다 고 말했습니다. 뉴스 김서희입니다.
212,2020-04-17,UCRZXiNgU35DCyC8oFxIX1-w,청년정책 추진단 '청년 삶 패러다임'을 바꿀 수 있는 방안은?? | 청년의 삶 개선방안 분석 vol.2 | 열고닫기??,2020년 3월 26일 정부는 정세균 국무총리 주재 국정현안점검조정회의에서 청년들의 제안을 바탕으로 마련한 청년의 삶 개선방안 을 확정 발표하였습니다. 청년정책의 새로운 패러다임을 제시한다고 하는데요 과연 어떤 정책들이 들어있을지 꾸망이와 친구들의 이야기를 들어보시죠 관련 홈페이지 청년정책추진단 .2030. . 참조 청년의 삶 개선방안 발표 .2030. . 1 387 청년의삶 개선방안 청년정책
213,2020-04-17,UCwIA7HHp4DAuGCRG0O8cSTg,"김제시, 청년정책 추진…58억 투입",김제시가 청년 정책종합계획을 추진합니다. 좋아요 구독 알림설정 부탁드립니다 가장 빠르고 정확한 지역 소식 전북방송 채널 25번 헬로 뉴스 월 금 저녁 6시 55분 전북방송 유튜브 . . 헬로전북 페이스북 . . 제보전화 070 7373 4432 010 2915 3311
211,2020-04-22,UCgzCOR128Z8rovfBEIQ_lEQ,경북 청년정책 슬로건 '경북 청년애(愛) 꿈' 선정 / 안동MBC,2020 04 22 10 09 11 작성자 김건엽 경북 청년정책의 정체성을 담은 슬로건으로 경북 청년애 애 꿈 이 선정됐습니다. 또 청년이 꿈을 향해 나아가는 모습을 역동적으로 형상화한 청년 발전 이 상징 엠블럼으로 선정됐습니다. 경상북도는 분산된 청년정책을 하나의 브랜드로 묶어 경북 청년애 애 꿈 브랜드로 코로나 사태가 진정된 이후 본격 추진하기로 했습니다.
210,2020-04-24,UCJP19w0neP0JmnqLdYtiSzA,세계삼대 고령화 국가 일본 이탈리아 폭망하는 이유와 독일의 청년정책 성공,최고의 노인복지는 청년정책으로 대한민국 미래를 대비
209,2020-05-05,UCbZRLiEl_dsyzK4QFf-NmpQ,[유튜브프렌즈] 부산 취준생 주목! 이거 아직도 모르나? (feat. 무조건 개이득 부산청년정책),부산 청년들 주오오오모목 취준생들이 솔직하게 리뷰해 본 청년정책 3를 뽑아봤습니다 바로 청년월세지원 청년디딤돌카드 파란일자리사업 알면 무조건 개이득인 오직 부산 청년들만을 위한 청년정책 부경대생 유튜브 프렌즈 동석이가 다 알려줍니다 1차 모집에 엄청난 인기를 끌었던 청년디딤돌카드는 성원에 힘입어 2차 모집까지 지금 실시 중이라니까 드루와 드루와 단 여기서 주목 청년디딤돌카드 사용에 관한 안내 참고하세요 구직활동에 필요한 직 간접비 지원 직접비 직접적인 구직 활동비 시험 응시료 학원 및 인터넷 강의 수강료 서적구입 면접복장 구입 증명사진 촬영비 등 간접비 구직활동에 필요한 간접비 식비 교통비 체력단련비 문구류 구입비 등 부산청년을 위한 정책은 계속 되니까요 구독 버튼 꾸욱 눌러주세요 부산청년정책 청년디딤돌카드 부산시
207,2020-05-18,UCcgeHR34Rr17yaoaqD0jR2A,고민을 말해봐! | 성년의 날 특집 | 진로 알바 동아리 멘토링 | 청년을 위한 정책을 모아모아,알바돈받는법 주휴수당 알바부당대우 단편영화 동아리 성년의날 진로멘토 진로상담 스무 살 분들의 다양한 고민을 해결해 줄 정책을 모아모아 고민을 말해봐 5월 18일은 성년의 날을 기념하여 성년이 된 청년을 위해서 여성가족부 영상기자단 박지민 정은지 홍은설 기자 이 정책을 선물해드립니다 00 32 사장님이 주휴수당을 안주네요 01 55 단편영화를 만들고 싶은데 지원받을 수 있나요 03 30 현역에서 활동 중인 선배에게 진로 멘토링을 받고 싶어요 이 영상은 2030 영상기자단의 관점에서 자율적으로 제작한 콘텐츠입니다 더 많은 이야기를 만나고 싶다면 여성가족부 유튜브 채널을 구독해주세요 여성가족부 유튜브 . . 여성가족부 홈페이지 . . . 여성가족부 페이스북 . . 여성가족부 블로그 . . 여성가족부 트위터 .
206,2020-05-18,UCwWqBWIe72xKV016rcXGaaA,"여수청년희망학교 수강생모집! 5/31까지 (실전취업준비, 커피, 요리, 싱어송라이터, 원목 인테리어, 사진, 청년정책 등)",여수에서 같이 살래 슬기로운 청년생활 신청자격 여수지역 거주 만 19세 39세 청년 신청기간 2020년 5 1 5 31까지 개설학과 실전취업준비 청년정책 커피 요리 싱어송라이터 원목인테리어 조향 합창과 발성 퍼실리테이션 사진 문의 . . . 061 642 0001 070 7733 2317
205,2020-05-19,UCh6FOwygaCPmcd6dFohbaFA,과천시 청년정책 연구,과천시가 관내 2 30대 청년들을 위한 청년정책 수립을 위해 연구에 착수했습니다. 과천시 지역 특성을 고려해 청년들의 삶의 질을 보장하고 청년문제를 해결하는데 중점을 두고 추진될 전망입니다. 과천시는 15일 시청 상황실에서 과천시 청년정책 기본계획 수립 연구용역 착수보고회를 가졌습니다. 이날 보고회는 김종천 시장과 관련부서 부서장 및 청년위원들이 참석한 가운데 열렸으며 용역을 맡은 사 한국응용통계연구원의 보고와 참석자들의 논의가 펼쳐졌습니다. 이날 보고에 따르면 과천시는 경기도 내 청년인구는 상위 15위나 20대와 30대 초반 청년층의 소득격차는 1위로 20대 청년 경제활동이 미흡한 것으로 나타났으며 일자리 발굴 사업을 추진하는 것이 급선무인 것으로 보고됐습니다. 이에따라 과천시는 오는 9월까지 만 19세 39세 관내 청년층을 위한 정책수립을 위해 청년위원들의 심의를 거친 설문조사와 통계분석 초점집단면접 등을 통해 현실적인 관내 청년정책을 수립할 방침입니다.
204,2020-05-22,UC35SH2IZCoDAyjdM_BKNVlA,"[황타16회] 어이~ 젊은 친구, 부산청년정책이라는게 말이야!",부산시공무원 청년학교 청년참여 청년들을 위한 정책이 넘쳐난다 물론 부산시 이야깁니다. . . 부산 청년들은 모두 어텐션 플리즈 들어는 봤나 부산청년플랫폼 . . . 월세도 지원해주고 일자리 구하면 인건비도 지원하고 전기차 임차비도 지원하고... 뭐 이래 주는게 많노 싶겠지만 어떻게 보면 이런 건 어느 지역에서든 볼 수 있지 않겠어요 스스로 사회의 주체가 될 수 있도록 부산시는 좀 더 특별한 계획을 갖고 있는데 이름하야 청년주도 사회혁신 추진계획 청년정책 3.0 이 그것 인생의 진리를 찾아 멘토가 되어주기도 멘티가 되어 보기도 하고 지역 주민과 소통을 통해 사회구성원으로서 긍지도 가져보고 인생 선배들의 이야기도 들어볼 수 있는 다양한 이야기가 있습니다. 바로 이번 황타 16회에서 이번 황타16회에는 부산시 청년희망정책과 청년활동팀 이승휘 주무관과 부산인재평생교육진흥원 청년인재양성팀 양성범 연구원이 함께 해 주셨습니다. 황타4회 동상이몽 고용률에 대한 진실 혹은 사실 . 3 8 5 6 7 9
203,2020-05-22,UCsF-UNTH7fZ8olw6hKyMvoQ,청년이라면 누구나 *** 혜택을 받을 수 있다? [2020년 청년정책 확인하기],1분 공감 제 3화 성년의 날 편 어리다고 놀리지 말아요 성년이 됨과 동시에 청년들이 받을 수 있는 다양한 정부 혜택과 지켜야 할 권리와 의무까지 모르면 손해일 걸 어른의 첫걸음 슬기롭게 시작하는 법 볼수록 공감 채널과 함께 알아보자
201,2020-06-04,UC7ncBppTSon0LEU_kcgz7eg,서울특별시의회 청년정책 간담회 / 2020-02-10,서울특별시의회 청년정책 간담회 2020 02 10
200,2020-06-06,UC23KnFuruZ2mRhOUmrdJDmg,[이옥선 의원｜5분자유발언] 고졸청년정책 및 지원에 대하여,제373회 임시회 제2차 본회의 이옥선 의원 5분 자유발언 영상입니다. 고졸청년정책 및 지원에 대하여 경상남도의회 경남도의회 5분자유발언
199,2020-06-12,UCMNGwNS4yCEsCCyu2soQDrQ,럭셔리칼럼 #38 [문재인정부 청년정책을 신보라씨가...?],극우분들은 뒤로가기 부탁합니다.
198,2020-06-19,UC4Z25I55-dRvURdRIhFpL_Q,"[부산 기자회견 15회] 청년 떠나는 부산, 청년정책 필요하다!",부산 기자들의 거침없는 취재 뒷이야기 청년 떠나는 부산 청년정책 필요하다 청년층의 탈부산 대부분의 이유는 일자리가 없어서 부산의 청년인구 비중은 전국 평균 21.5 에 못 미치는 20.4 로 전국 최하위 수준 부산에서 대학을 졸업하고도 일자리를 찾기 위해 부산을 떠나는 청년들의 현실 부산의 청년들은 경제적인 이유로 부모가 되기 싫다는 의견까지 표출하고 있다. 그동안 수많은 예산아 투입됐고 많은 정책들이 추진됐는데 과연 그만큼 효과가 있었을까 청년들이 공감하는 정책 실질적으로 기업을 유치하고 청년인재 채용을 늘릴 수 있는 정책이 필요하다. 지역의 해묵은 이슈부터 취재 뒷이야기까지 거침없이 다 풀어내는 부산 기자회견 매주 목 금요일 오후 6시 45분 채널 25번 많은 시청 바랍니다.
197,2020-06-21,UCxGC3WnnWoRZoUXP02UHXeA,[뉴스&피플] 안산 최초 청년 전용공간 상상대로서 청년정책 간담회 가져,안산지역 청년들을 위한 거점 공간이자 다양한 활동을 지원하는 경기내일스퀘어 안산 상상대로에서 청년정책을 논의하는 뜻깊은 대화의 장이 마련됐습니다.
196,2020-06-30,UCRZXiNgU35DCyC8oFxIX1-w,"경제적 자유를 위한 확실한 돈 모으는 법, 희망두배 청년통장 추천 | 청년정책 | 열고닫기",경제적 자유를 위해서 미래를 위한 준비를 위해서 돈 모으는 법은 어떤게 있을까요 청년이라면 미래와 꿈 경제적 자유를 누구나 꿈꾸는데 도움을 줄 수 있는 똑똑한 통장을 추천합니다. 서울시에서 시행하는 자산형성 청년정책 3가지를 소개합니다. 1 희망두배 청년통장 2 꿈나래통장 3 중증장애청년 이룸통장 관련 스크랩 . . . 1286570 자산형성지원사업 소개 . . 222011930885 서울특별시의회 블로그 . 0 2 청년일보 포스트 경제적자유 청년정책 통장추천
195,2020-07-02,UCRZXiNgU35DCyC8oFxIX1-w,"전세자금대출 받아야 하는 중요한 이유?? | 전월세 비교부터 전세보증보험까지 | 직접 전셋집을 구한 스토리, 청년 정책",직접 집을 구하면서 겪은 경험을 시리즈로 알려드립니다 이번 영상은 월세와 전세 중에 어떤 게 이득인지 전월세 비교부터 다양한 전세자금대출 상품 전세보증보험까지 다뤘습니다. 아직 월세살고 계시다면 주거비에 부담을 많이 느끼고 계신 분이라면 이번에 전세자금대출에 대해 이해하고 꼭 고려해보시면 좋겠습니다. 이번 편에 다루고 추천하는 전세자금대출 상품 5 1. 중소기업취업청년 전월세 대출 . . 6300 221997074632 2. 버팀목 전세자금대출 . . . . 12396 3. 청년전월세대출 청년맞춤형전세 청년전용전세자금대출 . . 0055 010528 010531 012425 012399 020006110 4. 서울시 청년임차보증금 융자지원사업 . . . 01 040901 5. 전세금안심대출보증 . . 6300 222012740641 00 00 시작 00 35 월세와 전세 어떤게 이득일지 비교하는 방법 01 35 꾸망이가 추천하는 전세자금대출 02 19 전세자금대출 설명 04 04 나의 여유자금 확인하기 전세자금대출 전세계약 전세대출
193,2020-07-09,UCJPKwEaRF5KTaHp2FPnQBvQ,3차 추경안 통과 후 시행 예정인 청년정책은?!,이번 3차 추경이 통과되면서 청년디지털일자리 청년일경험지원 정책이 새롭게 나왔음 청년에게 어떤 혜택이 있을지 지금 바로 알려드림
192,2020-07-17,UCIMv9bOOGWGIfg6wPcRLItQ,[하이라이트] 김남국X황희두 청년정책 하이라이트,하이라이트 김남국 황희두 청년정책 하이라이트 광고문의 . 1544 1871
191,2020-07-20,UCmlgtxLebwbFTBAD1bbr6NA,"양산시, 청년정책 위원 모집",양산시가 청년 정책을 발굴하고 참여할 청년정책위원회 청년 위원을 모집합니다
190,2020-07-21,UCZ1Nw3mlYRJPp1XqVLD0gTw,마포구 마포TV 7월 22일 뉴스   마포구 청년정책 연구용역 중간보고회 개최,마포구청 마포 . . . 마포구의 공식 주민소통 방송 마포 소통과 혁신으로 더크고 행복한 마포를 만들겠습니다.
189,2020-07-23,UCdO1ny-EmpJh6rM4hi3KJGA,청년정책 농촌에서 희망을 찾다! “의성군 혁신인재 일자리밸리”,나름성공 사업지원금 연장편 의성에서 사업을 하면 군수님이 직접 마중 나오신다 의성군 혁신 인재 일자리 밸리입니다. 사업을 준비하시는 초기 단계에서 많은 분들이 걱정하시는 부분이 있더라구요. 과연 내가 경쟁이 될까 내가 할 수 있을까 어디서 교육을 받고 지원을 받아야할까 의외로 사람들이 생각치 못하는 해법이 있다고 합니다. 바로 소도시 농촌 사업 지원인데요 그중에서도 의성군의 사업을 대표하는 예로 알아보았습니다. 정부 예산과 지자체 지원은 빵빵 하지만 수도권과 광역시 단위에 비해 경쟁은 조금 수월하다고 하네요. 관심과 지원을 받고 사업을 성장시켜 지역 발전에도 이바지하고 나도 성공하는 꿩먹고 알먹고의 찬스가 아닐까요 이제는 언택트 시대 이제 사업장 주소지가 중요하지 않은 업종은 넘쳐나지요 실제로 사업이 어떻게 진행되는지 그리고 그 지원을 통해 성공하여 무려 갓. 물. 주.가 되신 사업가까지 만나보는 시간 나름 성공 의성군 혁신 인재 일자리 밸리 편입니다. 문을 두드리는 자에게 열리나니 렛츠고 관련 보도자료를 아래에 첨부합니다 의성군이 최적의 인재발굴로 활력 넘치는 혁신도시를 만들고자 오는 30일까지 의성군 혁신 인재 일자리 밸리 참여자를 모집한다.군은 본격적인 혁신청년 발굴을 위해 전국 설명회를 개최하는 등 다양한 온 오프라인 홍보로 전국 청년과의 소통을 시도하고 있으며 군의 청년정책과 사업에 대해서도 함께 홍보하고 있다.이번 의성군 혁신 인재 일자리 밸리 사업의 혁 신인재 100인으로 선정되면 2박 3일간 의성군을 경험할 수 있는 오픈하우스 프로그램 교육 참여기회를 제공하며 크라우드펀딩 경진대회도 지원할 계획이다. 사업 모델이 검증된 최종 10인에게는 1 1 전문가 매칭 컨설팅을 지원한다. 만 19세 이상 만 45세 이하의 다른 시도 청년으로 의성군 내 취업과 창업을 희망하는 청년이라면 누구나 참여할 수 있고 자세한 사항은 공식홈페이지 . . 를 통해 확인할 수 있다. 김주수 의성군수는 앞으로도 청년 일자리 및 창업에 대한 창의적인 아이디어와 기술을 보유한 청년들을 적극적으로 발굴하고 지원하겠다 며 더불어 이러한 청년창업자들이 지역에 정착할 수 있도록 각종 정책을 연계해 나갈 방침 이라고 밝혔다.
188,2020-07-24,UCsVjEtdviNb-iTtz5tYqHiA,"평택시, 희망 청년도시 위한 ‘청년정책 자문위원회’ 개최",평택시 시장 정장선 는 23일 서울역 공항철도 회의실에서 청년의 미래를 디자인하는 청년정책 자문위원회 를 열었다. 회의에는 정장선 시장을 비롯해 다양한 분야의 전문가 평택시 거주 청년 등이 참석했다. 시는 코로나19로 인한 취업난 등 어려움을 겪는 청년들을 위한 일자리 창출 방안 등 각계 전문가들의 의견을 청취하고 청년 스타트업 등 폭넓은 분야의 논의를 위한 자리를 마련했다. 회의를 진행한 전대경 미듬영농조합 대표는 이번 자문회의가 평택시 청년들에게 희망을 주는 의미 있는 시간이었으면 좋겠다. 라고 전했다. 정장선 시장은 청년인구가 평택시 전체인구의 30 를 차지하고 있는 만큼 기본적인 삶의 질 향상을 위한 청년정책이 필요하다. 라며 평택시가 차별화된 청년정책을 펼쳐 청년들이 희망을 갖는 평택시를 만들기 위해 노력하겠다. 라고 밝혔다.
187,2020-07-29,UC-_Lr5aJ92zDKCJXAQi656A,[도봉구 정책백서 5화] 청년활력도시 도봉구 | 깡 패러디 | 청년이 살고싶은 도시 | 청년펠로우 | 청년정책 | 도봉구청년들이 가장 싫어하는건 대충..*,청년활력도시도봉 도봉구 정책백서 도봉은 청년들을 위해 어떤 정책을 펼쳐나가고 있는지 함께 알아보시죠 깡 패러디 이번에도 고생했다 아나운서 구청장님의 깜짝 응원까지 점점 발전하는 정책백서 프로그램 재밌게 봐주세요
186,2020-07-30,UCwIA7HHp4DAuGCRG0O8cSTg,"박준배 김제시장, ′청년 정책′으로 인구·일자리 두 마리 토끼 잡을까?",전북방송은 민선 7기 4년의 반환점을 돈 시점에서 우리 지역 자치단체장과 이야기 나누는 시간을 이어가고 있습니다. 박준배 김제시장은 지난 2년 동안의 소회와 함께 여러 지역 현안에 대한 입장을 허심탄회하게 밝혔습니다.
185,2020-07-30,UCJ4re-aDNTnLGxgKZmSyKvg,"고양시 청년정책과 청년문화, 청년과 주민이 함께! [청년공동체 티키타카 #1 플라잉덕]",우리는 고양시 청년이다 경기 고양시 청년공동체 플라잉덕 의 중간활동공유 청소년 진로 캠프를 위한 단체에서 청년 문화를 주도하는 청년공동체로 백서 제작 음원 발매 뮤직비디오 제작 마을축제 고양시 청년정책 기반 활동 경기북부 네트워크 구축 주민자치위원회 지역공동체와의 연계 통해 지역에 녹아드는 청년 . 청춘시그널 페이스북 페이지 . . 지역 청년들의 소통 공간 로컬 청년들의 티키타카 . . ... . 행정안전부 사단법인이음 청년공동체활성화사업 전국청년여기모여 청년공동체티키타카 발표영상입수 경기도 고양시 플라잉덕 이사야대표 청년공동체 청년문화 청년정책
184,2020-08-02,UC781gWkSBcWdOlKO5Sie6jQ,"[용인 청년 네트워크 발대식] 청년의, 청년에 의한, 청년을 위한 정책을 만들어보자!",7월 23일 오후 7시 용튜버만큼이나 핫한 사람들이 용인시청으로 모였다. 용인시 청년 네트워크 발대식 에 참석하기 위함인데 그들은 앞으로 1년동안 어떤 활동을 할까요 8가지의 주제로 나눠진 분야 어떤 정책이 나올지 기대해주세요 용튜버 퐝지 블로그 . . 970210 용튜버 퐝지 인스타그램 . .
183,2020-08-14,UCJPKwEaRF5KTaHp2FPnQBvQ,[청년정책X댈님] 청년내일채움공제 A부터 Z까지 알려줄게요!! (코로나19 한시적 변경사항 포함),사회초년생 청년들의 목돈과 경력형성을 돕는 청년공제 청년내일채움공제 가업조건 및 상품 종류 설명부터 코로나19 한시적 변경사항까지 모두 알려드립니다 이 영상은 청년정책 채널과 생활 속 금융이야기 누구보다 재밌게 알려주는 유튜버 댈님과 함께 합니다 댈님 유튜브 바로가기 . . 2 44 7 1 08 청년내일채움공제 청년공제 댈님 코로나19개편
182,2020-08-25,UCh6FOwygaCPmcd6dFohbaFA,과천시 청년정책 기본계획 연구용역 중간보고회,관내 청년들이 만족할 수 있는 청년 정책 수립을 위해 노력하고 있는 과천시가 지난 21일 과천시청 대강당에서 청년정책위원들과 관련 전문가들이 참석한 가운데 과천시 청년정책 기본계획 연구용역 중간보고회 를 가졌습니다. 이날 보고에 따르면 과천시는 7월부터 8월까지 약 5주 동안 관내 청년 528명을 대상으로 일자리와 주거 및 가족 정신건강 등에 관한 1 1 면접조사를 실시했으며 관내 만 19세 39세에 해당하는 청년층을 위한 청년정책에 대한 수요를 파악했습니다. 이번 조사결과 일자리 부문에서는 청년고용을 위한 진로지도와 구직지원금에 대한 요구가 높은 것으로 나타났으며 청년주거정책 지원에 관해서는 조사자의 51 가 필요를 희망했습니다. 특히 취업준비생들은 청년주거비 지원과 과천시의 일자리공급 확대에 대한 요구가 높이 나타났으며 과천시는 이날 종합토론과 의견수렴을 토대로 오는 9월에 열리는 최종 보고회에 청년들의 수요를 반영해 결과물을 도출할 방침입니다. 한편 정부가 지난 2월4일 청년기본법을 제정하고 청년들의 삶의 질 향상에 나섰으나 과천시는 2016년에 청년기본조례를 제정하고 관내 청년들을 위한 정책 마련에 매진하고 있습니다.
